episode_id,method,outage_duration,outage_profile,seed,episode_seed,key_scheme,ablation_row,replication_lag,topology,source_node,reconnect_node,ttr_seconds,epoch_guard_result,tau_star,scenario_id,n_actions,n_eligible,n_duplicate,n_stale,n_escalated,n_invalidated,n_unsafe,unsafe_action_rate
75,cold_restart,0,no_outage,42,7052680314707102978,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
76,cold_restart,0,no_outage,42,4615313110149002329,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
77,cold_restart,0,no_outage,42,2356992831214996450,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
78,cold_restart,0,no_outage,42,6460386611637653990,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
79,cold_restart,0,no_outage,42,3558909826023772200,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
80,cold_restart,0,no_outage,42,187741602215285849,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
81,cold_restart,0,no_outage,42,324274626318201509,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
82,cold_restart,0,no_outage,42,2580763272966149752,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
83,cold_restart,0,no_outage,42,5713307446415436164,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
84,cold_restart,0,no_outage,42,7380182767413525772,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
85,cold_restart,0,no_outage,42,7257166616931590575,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
86,cold_restart,0,no_outage,42,6334401583828898854,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
87,cold_restart,0,no_outage,42,6213092078032971800,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
88,cold_restart,0,no_outage,42,7558412552980555060,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
89,cold_restart,0,no_outage,42,5514311350168547729,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
90,cold_restart,0,no_outage,42,3198314643811597447,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
91,cold_restart,0,no_outage,42,3090171527715382618,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
92,cold_restart,0,no_outage,42,2742295673730471167,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
93,cold_restart,0,no_outage,42,8031822298142141751,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
94,cold_restart,0,no_outage,42,6693557550221076202,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
95,cold_restart,0,no_outage,42,290805270007994288,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
96,cold_restart,0,no_outage,42,764889309325318642,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
97,cold_restart,0,no_outage,42,6410731261700163860,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
98,cold_restart,0,no_outage,42,5256676206157442316,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
99,cold_restart,0,no_outage,42,6988395367333398534,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
0,cold_restart,10,short_outage,42,5948648572240668723,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,1,0,0,0,1,0.5
1,cold_restart,10,short_outage,42,7016184696079737539,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,1,0,0,0,1,0.5
2,cold_restart,10,short_outage,42,4386155535227904864,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,1,0,0,0,1,0.5
3,cold_restart,10,short_outage,42,656391458354329510,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,1,0,0,0,1,0.5
4,cold_restart,10,short_outage,42,6748252557647324929,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,1,0,0,0,1,0.5
5,cold_restart,10,short_outage,42,5775012196342456149,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,1,0,0,0,1,0.5
6,cold_restart,10,short_outage,42,3252233025285063041,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,1,0,0,0,1,0.5
7,cold_restart,10,short_outage,42,841054358435818452,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,1,0,0,0,1,0.5
8,cold_restart,10,short_outage,42,4110592813441204364,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,1,0,0,0,1,0.5
9,cold_restart,10,short_outage,42,4807097060331337010,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,1,0,0,0,1,0.5
10,cold_restart,10,short_outage,42,1268284825520950976,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,1,0,0,0,1,0.5
11,cold_restart,10,short_outage,42,9151792499499387905,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,1,0,0,0,1,0.5
12,cold_restart,10,short_outage,42,8405312631809396629,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,1,0,0,0,1,0.5
13,cold_restart,10,short_outage,42,9216871762072158126,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,1,0,0,0,1,0.5
14,cold_restart,10,short_outage,42,6763482995026618178,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,1,0,0,0,1,0.5
15,cold_restart,10,short_outage,42,1399650392208907595,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,1,0,0,0,1,0.5
16,cold_restart,10,short_outage,42,5817663490985035462,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,1,0,0,0,1,0.5
17,cold_restart,10,short_outage,42,6487565550005869879,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,1,0,0,0,1,0.5
18,cold_restart,10,short_outage,42,639470374878016551,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,1,0,0,0,1,0.5
19,cold_restart,10,short_outage,42,2189779611949060206,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,1,0,0,0,1,0.5
20,cold_restart,10,short_outage,42,297849758248984634,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,1,0,0,0,1,0.5
21,cold_restart,10,short_outage,42,6224870017354889882,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,1,0,0,0,1,0.5
22,cold_restart,10,short_outage,42,8579966894679545343,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,1,0,0,0,1,0.5
23,cold_restart,10,short_outage,42,4161002381378763641,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,1,0,0,0,1,0.5
24,cold_restart,10,short_outage,42,1880258337173361117,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,1,0,0,0,1,0.5
25,cold_restart,10,short_outage,42,9140861162483471221,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,1,0,0,0,1,0.5
26,cold_restart,10,short_outage,42,8778020684488657192,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,1,0,0,0,1,0.5
27,cold_restart,10,short_outage,42,4474162068869425887,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,1,0,0,0,1,0.5
28,cold_restart,10,short_outage,42,8360071572525366929,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,1,0,0,0,1,0.5
29,cold_restart,10,short_outage,42,8614164123702399942,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,1,0,0,0,1,0.5
30,cold_restart,10,short_outage,42,1366376252609784237,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,1,0,0,0,1,0.5
31,cold_restart,10,short_outage,42,7539213332750318903,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,1,0,0,0,1,0.5
32,cold_restart,10,short_outage,42,2566799692369249620,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,1,0,0,0,1,0.5
33,cold_restart,10,short_outage,42,1958216661707294655,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,1,0,0,0,1,0.5
34,cold_restart,10,short_outage,42,7849072159674684458,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,1,0,0,0,1,0.5
35,cold_restart,10,short_outage,42,1500981274466609839,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,1,0,0,0,1,0.5
36,cold_restart,10,short_outage,42,4938649282250511144,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,1,0,0,0,1,0.5
37,cold_restart,10,short_outage,42,6816590722429101987,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,1,0,0,0,1,0.5
