temperature,tau,fmr,n_false_match,n_total,ci_low,ci_high,source
0.7,0.31,0.47,94,200,0.4020463337087108,0.5390844266463886,dedicated_negatives
0.7,0.32,0.45,90,200,0.38263948633754313,0.519245114254289,dedicated_negatives
0.7,0.33,0.43,86,200,0.36334204488394795,0.49929639594461706,dedicated_negatives
0.7,0.34,0.43,86,200,0.36334204488394795,0.49929639594461706,dedicated_negatives
0.7,0.35000000000000003,0.425,85,200,0.35853495209243025,0.4942919487953179,dedicated_negatives
0.7,0.36,0.405,81,200,0.3393765611244294,0.4742041800000517,dedicated_negatives
0.7,0.37,0.345,69,200,0.2825968690139029,0.41324539282077655,dedicated_negatives
0.7,0.38,0.315,63,200,0.25462218077944276,0.38235084141033604,dedicated_negatives
0.7,0.39,0.305,61,200,0.24536314352669053,0.3719867987814547,dedicated_negatives
0.7,0.4,0.285,57,200,0.22694905173277297,0.3511547308121051,dedicated_negatives
0.7,0.41000000000000003,0.285,57,200,0.22694905173277297,0.3511547308121051,dedicated_negatives
0.7,0.42,0.285,57,200,0.22694905173277297,0.3511547308121051,dedicated_negatives
0.7,0.43,0.285,57,200,0.22694905173277297,0.3511547308121051,dedicated_negatives
0.7,0.44,0.285,57,200,0.22694905173277297,0.3511547308121051,dedicated_negatives
0.7,0.45,0.285,57,200,0.22694905173277297,0.3511547308121051,dedicated_negatives
0.7,0.46,0.285,57,200,0.22694905173277297,0.3511547308121051,dedicated_negatives
0.7,0.47000000000000003,0.285,57,200,0.22694905173277297,0.3511547308121051,dedicated_negatives
0.7,0.48,0.285,57,200,0.22694905173277297,0.3511547308121051,dedicated_negatives
0.7,0.49,0.285,57,200,0.22694905173277297,0.3511547308121051,dedicated_negatives
0.7,0.5,0.285,57,200,0.22694905173277297,0.3511547308121051,dedicated_negatives
0.7,0.51,0.285,57,200,0.22694905173277297,0.3511547308121051,dedicated_negatives
0.7,0.52,0.285,57,200,0.22694905173277297,0.3511547308121051,dedicated_negatives
0.7,0.53,0.285,57,200,0.22694905173277297,0.3511547308121051,dedicated_negatives
0.7,0.54,0.285,57,200,0.22694905173277297,0.3511547308121051,dedicated_negatives
0.7,0.55,0.28,56,200,0.22236792842635128,0.34592431417771,dedicated_negatives
0.7,0.56,0.27,54,200,0.2132335473104056,0.3354356154120221,dedicated_negatives
0.7,0.5700000000000001,0.27,54,200,0.2132335473104056,0.3354356154120221,dedicated_negatives
0.7,0.58,0.27,54,200,0.2132335473104056,0.3354356154120221,dedicated_negatives
0.7,0.59,0.27,54,200,0.2132335473104056,0.3354356154120221,dedicated_negatives
0.7,0.6,0.27,54,200,0.2132335473104056,0.3354356154120221,dedicated_negatives
0.7,0.61,0.255,51,200,0.19960402982802747,0.3196305130719498,dedicated_negatives
0.7,0.62,0.255,51,200,0.19960402982802747,0.3196305130719498,dedicated_negatives
0.7,0.63,0.255,51,200,0.19960402982802747,0.3196305130719498,dedicated_negatives
